Idsalida,d,m,y,zona,ycodif,WPT,impactos,dientes,edad,sexo,altocruz,anchocruz,largo,CE,nutri,abertura,extrmuni,fotogral,fotodent,preñez
20190729BR,29,07,2019,BR,4,BR331,4,8,5,M,131,106,246,38,MB,SI,NO,SI,SI,NC
20190731BR,31,07,2019,BR,4,BR332,1,DL,1,H,99,67,161,NA,MB,SI,NO,SI,SI,no
20190805BR,05,08,2019,BR,4,BR333,4,8,5,H,150,103,220,NA,MB,SI,NO,SI,SI,si
20190805BR,05,08,2019,BR,4,BR334,3,DL,1,H,130,88,180,NA,MB,SI,NO,SI,SI,no
20190805BR,05,08,2019,BR,4,BR335,5,6,4,H,138,93,215,NA,MB,SI,NO,SI,SI,si
20190805BR,05,08,2019,BR,4,BR336,4,DL,1,M,136,96,208,31,MB,SI,NO,SI,SI,NC
20190805BR,05,08,2019,BR,4,BR338,,NA,2,H,120,98,254,NA,NA,NO,NO,SI,SI,no
20190809BR,09,08,2019,BR,4,BR337,2,8,5,M,150,128,260,39,MB,SI,NO,SI,SI,NC
20190816BR,16,08,2019,BR,4,BR339,2,2,2,M,138,93,231,33,MB,SI,NO,SI,SI,NC
20190816BR,16,08,2019,BR,4,BR340,2,4,3,M,123,101,245,38,MB,SI,NO,SI,SI,NC
20190821BR,21,08,2019,BR,4,BR341,2,6,4,M,153,123,279,44,MB,SI,NO,SI,SI,NC
20190830BR,30,08,2019,BR,4,BR342,,NA,2,H,NA,NA,NA,NA,NA,,,,,no
20190902BR,02,09,2019,BR,4,BR343,1,4,3,M,147,102,210,30,MB,SI,NO,SI,SI,NC
20190912BR,12,09,2019,BR,4,BR344,3,8,5,H,135,92,225,NA,MB,SI,NO,SI,SI,si
20191028BR,28,10,2019,BR,4,BR345,2,DL,1,M,112,72,195,26,MB,SI,SIN PLOMO,si,si,NC
20191028BR,28,10,2019,BR,4,BR346,1,4,3,H,125,88,224,NA,MB,SI,SIN PLOMO,si,si,si
20191028BR,28,10,2019,BR,4,BR347,2,2,2,H,125,80,216,NA,MB,SI,SIN PLOMO,si,si,si
20200102BR,02,01,2020,BR,5,BR348,4,6,4,M,157,124,252,NA,MB,SI,NO,SI,SI,NC
20200302BR,02,03,2020,BR,5,BR349,3,8,5,M,152,106,266,40,MB,NO,NO,SI,SI,NC
20200305BR,05,03,2020,BR,5,BR350,2,DL,1,M,135,88,219,32,MB,SI,NO,SI,SI,NC
20200305BR,05,03,2020,BR,5,BR351,2,DL,1,M,128,101,197,31,MB,SI,NO,SI,SI,NC
20200305BR,05,03,2020,BR,5,BR352,4,8,5,H,133,102,257,NA,MB,SI,NO,SI,SI,si
20200305BR,05,03,2020,BR,5,BR353,3,8,5,H,137,99,247,NA,MB,SI,NO,SI,SI,si
